"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_Viruses","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31"
"vi201112.116","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",6,1,1095735.608,23181236.67,21.1558669,1.27176781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.065","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",6,2,1205117.271,25240298.51,20.94426752,1.038709677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.117","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",6,2,1080383.795,22513432.84,20.8383659,1.228346457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.066","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",6,3,1011940.299,29598933.9,29.24968394,1.007556675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.118","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",6,3,1054797.441,21983795.31,20.84172226,1.252717391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.067","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",9,1,3837.953092,10589552.24,2759.166667,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.119","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",9,1,14712.15352,10223027.72,694.8695652,0.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.068","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",9,2,1214072.495,25057356.08,20.63909378,1.014767932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.120","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",9,2,1111087.42,25803837.95,23.22394934,1.303430079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.069","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",9,3,1281876.333,25360554.37,19.78393214,1.196078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.121","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",9,3,1010021.322,22728358.21,22.50284991,1.496855346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.081","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",12,1,1189765.458,24434328.36,20.53709677,1.205188679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.133","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",12,1,917910.4478,22929211.09,24.97979094,1.386138614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.082","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",12,2,1233262.26,24374200.43,19.76400415,1.232718894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.134","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",12,2,864179.1045,22656716.42,26.21761658,1.560150376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.083","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",12,3,1270362.473,25931130.06,20.41238671,1.222717149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
