"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",6,1,"T0_T3","c_V1","VP",289948.57,869845.710000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T6","c_V1","VP",289948.57,869845.710000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T9","c_V1","VP",289948.57,869845.710000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T12","c_V1","VP",289948.57,869845.710000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T24","c_V1","VP",149409.720833334,976296.170000002,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T3","c_V1","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T6","c_V1","VP",882287.859999999,2646863.58,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T9","c_V1","VP",882287.859999999,2646863.58,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T12","c_V1","VP",534976.41,3209858.46,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T24","c_V1","VP",534976.41,3209858.46,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T3","c_V2","VP",-102830.811333333,-308492.434,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_V2","VP",-166363.890166667,-998183.341000002,36680.8401668705,0.95363985273863,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",-39701.4576236215,-694775.508413376,31378.3294433458,0.444577079914654,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",-17525.1959002123,-359266.515954352,23168.4197684128,0.160176780230428,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_V2","VP",-5501.60078219446,-132038.418772667,18130.2731169078,0.0225022136870273,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_V2","VP",-139868.190666667,-419604.572,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_V2","VP",-215828.422166667,-1294970.533,43855.660104231,0.960348212914014,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",-64335.477013874,-1125870.8477428,37528.6836518847,0.595045747635732,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",-44607.0127161055,-914443.760680164,25462.2655828754,0.505693435396748,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_V2","VP",-30434.0175670171,-730416.421608411,20228.8033301651,0.361378193403447,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_V2","VP",-119770.152333333,-359310.457,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_V2","VP",-229696.669,-1378180.014,63466.1039885778,0.929071098506653,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",-72958.2386709356,-1276769.17674137,40106.0663375824,0.623298401736212,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",-46988.1704491963,-963257.494208523,28772.6969660836,0.470615309114692,"LM_SR","3"
"NJ2020",2,1,"T0_T24","c_V2","VP",-29850.2355239817,-716405.65257556,23233.3849095531,0.292124241612416,"LM_SR","3"
"NJ2020",6,1,"T0_T3","c_V2","VP",-13117.8963333333,-39353.689,NA,1,"LM_SR","1"
"NJ2020",6,1,"T0_T6","c_V2","VP",22199.2006666664,133195.203999999,20390.3354599462,0.542395580662886,"LM_SR","1"
"NJ2020",6,1,"T0_T9","c_V2","VP",-200135.511233333,-1801219.6011,128688.491564912,0.547370706146753,"LM_SR","1"
"NJ2020",6,1,"T0_T12","c_V2","VP",-101697.3171,-1220367.8052,93542.8706092993,0.282630608190345,"LM_SR","1"
"NJ2020",6,1,"T0_T24","c_V2","VP",-25360.5356833334,-608652.856400002,46111.6476980683,0.0703034731484563,"LM_SR","1"
"NJ2020",6,1,"T0_T3","c_V2","VP",-44965.0569999999,-134895.171,NA,1,"LM_SR","2"
"NJ2020",6,1,"T0_T6","c_V2","VP",-66307.7326666669,-397846.396000002,12322.1995413768,0.966618695113119,"LM_SR","2"
"NJ2020",6,1,"T0_T9","c_V2","VP",-40257.1451333333,-362314.3062,16018.0634675811,0.759509771527383,"LM_SR","2"
"NJ2020",6,1,"T0_T12","c_V2","VP",-40478.4033333332,-485740.839999999,9248.91547592693,0.864585794911636,"LM_SR","2"
"NJ2020",6,1,"T0_T24","c_V2","VP",9175.97061666662,220223.294799999,14882.9525988023,0.0867839431320856,"LM_SR","2"
"NJ2020",6,1,"T0_T3","c_V2","VP",-64502.1643333329,-193506.492999999,NA,1,"LM_SR","3"
"NJ2020",6,1,"T0_T6","c_V2","VP",-149213.431,-895280.586000002,48908.072613394,0.902987640100947,"LM_SR","3"
"NJ2020",6,1,"T0_T9","c_V2","VP",-80569.3128666667,-725123.8158,45266.6716778001,0.613001468202066,"LM_SR","3"
"NJ2020",6,1,"T0_T12","c_V2","VP",-47478.5485333334,-569742.5824,32373.1897766756,0.417579561147021,"LM_SR","3"
"NJ2020",6,1,"T0_T24","c_V2","VP",-24432.7977666667,-586387.1464,15516.5484647622,0.382664087853011,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",17095.8067826087,196601.778,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",39928.0131724138,578956.191,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T24","c_V2","VP",41010.3349444444,738186.029,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",3593.74130434782,41328.0249999999,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",16982.7652413793,246250.096,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T24","c_V2","VP",23961.9455555556,431315.02,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T17.5","c_V2","VP",47.9294782608909,551.189000000246,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T20.5","c_V2","VP",24723.1616551724,358485.844,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T24","c_V2","VP",32212.1356666667,579818.442,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T6","c_V2","VP",57516.2976666666,172548.893,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T9","c_V2","VP",57516.2976666666,172548.893,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T12","c_V2","VP",285953.2345,1715719.407,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T24","c_V2","VP",80900.0254333333,1736805.191,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T9","c_V2","VP",27641.7843333334,82925.3530000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T12","c_V2","VP",27641.7843333334,82925.3530000001,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T24","c_V2","VP",43291.379,790217.037,NA,NA,"VPCL_SR","2"
"NJ2020",6,1,"T0_T3","c_V2","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T6","c_V2","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T9","c_V2","VP",107837.385,323512.155,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T12","c_V2","VP",62038.8878333333,372233.327,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T24","c_V2","VP",62038.8878333333,372233.327,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T3","c_V3","VP",-24663.8577666667,-73991.5733,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_V3","VP",-18598.1774666667,-111589.0648,3502.02215402324,0.965757528299157,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V3","VP",-4844.26209669156,-84774.5866921023,3380.1082277964,0.506656412915926,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V3","VP",-2413.41530509555,-49475.0137544587,2511.0994492445,0.235417771433035,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_V3","VP",-1816.53201294349,-43596.7683106438,1799.6343872105,0.203007390455652,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_V3","VP",-17082.9266666667,-51248.78,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_V3","VP",-14374.27985,-86245.6791000002,1563.83796874216,0.988302282916886,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V3","VP",-3756.85254571326,-65744.9195499821,2561.11735931907,0.518274004884481,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V3","VP",3700.89784956021,75868.4059159843,4845.47922130238,0.162798207846063,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_V3","VP",5705.89792802234,136941.550272536,3648.13648432692,0.379486908573276,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_V3","VP",-25520.9247666667,-76562.7743,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_V3","VP",-32432.8507833334,-194597.1047,3990.60234634124,0.985086451017403,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_V3","VP",-6699.41901031661,-117239.832680541,6213.80230658482,0.367570978261359,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_V3","VP",-6473.81989951471,-132713.307940052,3706.20054086873,0.504226375766871,"LM_SR","3"
"NJ2020",2,1,"T0_T24","c_V3","VP",-3088.7241107753,-74129.3786586072,3465.83725626387,0.165662330093122,"LM_SR","3"
"NJ2020",6,1,"T0_T3","c_V3","VP",-14471.6343666666,-43414.9030999999,NA,1,"LM_SR","1"
"NJ2020",6,1,"T0_T6","c_V3","VP",16831.921,100991.526,18073.1161175374,0.464485708522464,"LM_SR","1"
"NJ2020",6,1,"T0_T9","c_V3","VP",-40679.7319533333,-366117.58758,34173.9312983032,0.41468925493261,"LM_SR","1"
"NJ2020",6,1,"T0_T12","c_V3","VP",-17399.35834,-208792.30008,23873.5095587664,0.150423345876399,"LM_SR","1"
"NJ2020",6,1,"T0_T24","c_V3","VP",-2437.38729166667,-58497.2950000001,11203.5545312612,0.0116941535841976,"LM_SR","1"
"NJ2020",6,1,"T0_T3","c_V3","VP",-3618.90939999994,-10856.7281999998,NA,1,"LM_SR","2"
"NJ2020",6,1,"T0_T6","c_V3","VP",-7516.12470000002,-45096.7482000001,2250.05830254492,0.917752072520415,"LM_SR","2"
"NJ2020",6,1,"T0_T9","c_V3","VP",-673.993360000003,-6065.94024000003,4076.45347055178,0.0134840505600783,"LM_SR","2"
"NJ2020",6,1,"T0_T12","c_V3","VP",-1046.12007333333,-12553.4408799999,2363.32754030907,0.0613079937030752,"LM_SR","2"
"NJ2020",6,1,"T0_T24","c_V3","VP",4443.87077666666,106652.89864,1886.50830293134,0.581102743578985,"LM_SR","2"
"NJ2020",6,1,"T0_T3","c_V3","VP",-11712.6034333333,-35137.8103,NA,1,"LM_SR","3"
"NJ2020",6,1,"T0_T6","c_V3","VP",-28971.7841166667,-173830.7047,9964.59261351487,0.89421794578256,"LM_SR","3"
