"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T20","c_V3","VP","1",21990.3059560736,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VP","1",22037.5673761007,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VP","2",20910.6074352564,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VP","2",20910.6074352564,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VP","2",15259.326572054,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V3","VP","2",22915.8749126907,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VP","2",22915.8749126907,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VP","3",1354.34209941436,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VP","3",1354.34209941436,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VP","3",5835.02278735823,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V3","VP","3",14361.0946686404,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VP","3",14361.0946686404,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_Viruses","VPC","1",131172.707889127,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_Viruses","VPC","1",66823.0277185501,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_Viruses","VPC","1",47605.6691333247,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_Viruses","VPC","1",57326.2260127929,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_Viruses","VPC","1",49946.6950959488,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_Viruses","VPC","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_Viruses","VPC","2",634968.01705757,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_Viruses","VPC","2",634968.01705757,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_Viruses","VPC","2",634968.01705757,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_Viruses","VPC","2",634968.01705757,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_Viruses","VPC","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_Viruses","VPC","3",79402.9850746266,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_Viruses","VPC","3",66835.2116966186,NA,NA,"VPCL_SR",NA
