"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201102.111","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",24,1,1267803.83795309,688323.970061594,579479.867891498,8460639.65884861,6691094.10928551,1236168.32567491,533377.223888198,6.67346115035318,1.18783068783069
"vi201102.025","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",24,2,28144.9893390192,6701.18793786171,21443.8014011575,131549680.170576,109809228.137231,18304862.2510114,3435589.78233366,4674,0.3125
"vi201102.099","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",24,2,3780383.79530917,3033300.6500345,747083.14527467,9830788.91257996,7764923.92962414,1391286.58963812,674578.39331769,2.60047377326565,4.06019151846785
"vi201102.112","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",24,2,1262686.56716418,701095.091116655,561591.476047524,8529211.08742004,6769470.53059558,1157909.28639049,601831.270433965,6.7548125633232,1.2484076433121
"vi201102.026","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",24,3,-7675.90618336887,-2193.1160523911,-5482.79013097776,138703624.733475,116994360.502333,18299092.3199492,3410171.9111938,-18070,0.4
"vi201102.100","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",24,3,3451343.28358209,2747279.47236431,704063.811217782,8707036.24733475,6748015.62426306,1292173.20464612,666847.41842558,2.52279635258359,3.90203193033382
"vi201102.113","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",24,3,1287761.19402985,703158.493248046,584602.700781805,8488272.92110874,6584394.12744381,1231714.56152075,672164.232144183,6.59149612557123,1.2027972027972
"vi201103.011","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",0,1,2302.77185501066,657.934815717332,1644.83703929333,12126652.4520256,10474609.8566486,1558655.2412912,93387.3540858288,5266.11111111111,0.4
"vi201103.027","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",0,1,902558.635394456,485109.308981462,417449.326412995,33939019.1897655,28626526.845766,4623201.22266329,689291.121336125,37.603118355776,1.16207951070336
"vi201104.009","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",0,1,825159.914712153,467213.832987703,357946.08172445,36735607.6759062,31173468.4722723,4822707.81222524,739431.391408684,44.5193798449612,1.30526315789474
"vi201103.013","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",0,2,2302.77185501066,328.967407858666,1973.80444715199,12777569.2963753,10998407.650657,1675072.56541792,104089.080300295,5548.77777777778,0.166666666666667
"vi201103.028","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",0,2,857782.515991471,513137.755102041,344644.76088943,34344562.8997868,28800530.5860556,4845791.46817307,698240.84555808,40.0387770320656,1.48888888888889
"vi201104.010","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",0,2,770149.253731343,451553.308376683,318595.94535466,34180810.2345416,28994947.5223088,4534163.38743347,651699.324799306,44.3820598006645,1.41732283464567
"vi201103.014","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",0,3,4349.68017057569,0,4349.68017057569,11726993.6034115,9998794.39030925,1618093.74356522,110105.46953705,2696.05882352941,0
"vi201103.029","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",0,3,810447.76119403,490097.543777177,320350.217416853,34106609.8081023,28548909.3674178,4803640.58189821,754059.858786347,42.0836621941594,1.52988047808765
"vi201104.011","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",0,3,841791.044776119,488741.367787926,353049.676988193,34688699.3603412,29698408.5135331,4346016.30847585,644274.538332219,41.2082066869301,1.38434163701068
"vi201103.030","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",3,1,905117.270788913,523410.55151404,381706.719274873,31519829.424307,26589821.0869008,4314708.78937687,615299.548029338,34.8240282685512,1.37123745819398
"vi201104.012","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",3,1,830277.185501066,472290.804460516,357986.38104055,34512153.5181237,29321777.7725852,4527238.11081578,663137.634722668,41.5670261941448,1.31929824561404
"vi201103.031","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",3,2,891044.776119403,534882.179361074,356162.596758329,31380383.7953092,26307204.8335756,4426186.89609612,646992.065637438,35.2175161521895,1.50179211469534
"vi201104.013","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",3,2,828997.867803838,476045.745299477,352952.122504361,34224307.0362473,29019439.1263886,4472480.34492101,732387.564937742,41.2839506172839,1.34875444839858
"vi201103.032","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",3,3,828358.208955224,510544.350665777,317813.858289446,31706609.8081023,26584782.5984945,4444330.12515636,677497.084451469,38.2764478764479,1.60642570281124
"vi201104.014","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",3,3,811087.420042644,450743.628166113,360343.791876531,34189765.4584222,29036656.9824413,4481237.92370648,671870.552274417,42.1529968454259,1.25087108013937
"vi201103.042","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",6,1,884648.187633262,556632.567499581,328015.620133682,30381876.3326226,26179156.3937847,3625017.88238354,577702.056454362,34.3434562545192,1.6969696969697
"vi201104.032","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",6,1,807249.46695096,409327.437716107,397922.029234853,52775692.9637527,47907016.4236731,4228394.85967844,640281.680401083,65.3771790808241,1.02866242038217
"vi201103.043","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",6,2,928144.989339019,610883.632393376,317261.356945643,28878678.0383795,24715861.9367482,3550820.93517485,611995.166456447,31.1144038594073,1.92549019607843
"vi201104.033","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",6,2,825159.914712153,498138.013028996,327021.901683158,34220469.0831556,29199885.5323324,4295065.69665801,725517.854165204,41.4713178294574,1.52325581395349
"vi201103.044","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",6,3,943496.801705757,604933.305579153,338563.496126604,28714925.3731343,24730002.0511516,3425460.56790934,559462.754073418,30.4345762711864,1.78676470588235
"vi201104.034","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",6,3,789339.019189765,416841.953954146,372497.06523562,36909594.8827292,32154278.0181542,4074542.41835829,680774.446216714,46.7601296596434,1.11904761904762
"vi201103.045","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",17.5,1,2115351.81236674,1791857.15049942,323494.661867315,68129424.3070363,63727850.4377119,3821619.6598449,579954.209479445,32.2071363773813,5.5390625
"vi201104.035","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",17.5,1,772707.8891258,466158.201964417,306549.687161383,33117697.228145,28211651.9782313,4189686.97177721,716358.2781365,42.8592715231788,1.52066115702479
"vi201103.046","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",17.5,2,2348187.63326226,2048338.24259246,299849.390669804,49089339.0191898,44881681.3889735,3592148.96008871,615508.670127559,20.9052029419777,6.83122362869198
"vi201104.036","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",17.5,2,809808.102345416,405537.70383495,404270.398510466,47185074.6268657,42129033.3462202,4396172.16561135,659869.115034143,58.2669826224329,1.00313479623824
"vi201103.047","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",17.5,3,1946481.87633262,1618281.30055669,328200.575775929,56943070.3624733,52907933.6824011,3426011.75686689,609124.923205401,29.2543542556687,4.93076923076923
