"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Expt_No","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate"
"vi201103.027","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",0,1,60,50,39.0833333333333
"vi201103.028","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",0,2,60,50,39.0833333333333
"vi201103.029","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",0,3,60,50,39.0833333333333
"vi201103.030","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",3,1,60,50,39.0833333333333
"vi201103.031","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",3,2,60,50,39.0833333333333
"vi201103.032","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",3,3,60,50,39.0833333333333
"vi201103.033","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.034","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.036","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.037","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.038","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.039","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.040","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.041","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.042","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",6,1,60,50,39.0833333333333
"vi201103.043","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",6,2,60,50,39.0833333333333
"vi201103.044","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",6,3,60,50,39.0833333333333
"vi201103.045","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",17.5,1,60,50,39.0833333333333
"vi201103.046","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",17.5,2,60,50,39.0833333333333
"vi201103.047","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",17.5,3,60,50,39.0833333333333
"vi201103.049","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.050","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.051","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.052","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.053","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.054","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.056","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",20.5,1,60,100,39.0833333333333
"vi201103.057","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",20.5,2,60,100,39.0833333333333
"vi201103.058","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",20.5,3,60,100,39.0833333333333
"vi201103.059","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",24,1,60,100,39.0833333333333
"vi201103.060","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",24,2,60,100,39.0833333333333
"vi201103.061","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VP",24,3,60,100,39.0833333333333
"vi201103.062","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201103.063","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.001","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.002","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.003","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.004","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.005","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.006","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.007","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.009","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",0,1,60,50,39.0833333333333
"vi201104.010","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",0,2,60,50,39.0833333333333
"vi201104.011","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",0,3,60,50,39.0833333333333
"vi201104.012","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",3,1,60,50,39.0833333333333
"vi201104.013","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",3,2,60,50,39.0833333333333
"vi201104.014","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",3,3,60,50,39.0833333333333
"vi201104.020","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.021","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.022","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.023","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.024","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.025","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.032","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",6,1,60,50,39.0833333333333
"vi201104.033","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",6,2,60,50,39.0833333333333
"vi201104.034","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",6,3,60,50,39.0833333333333
"vi201104.035","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",17.5,1,60,50,39.0833333333333
"vi201104.036","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",17.5,2,60,50,39.0833333333333
"vi201104.037","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",17.5,3,60,50,39.0833333333333
"vi201104.038","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.039","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.040","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.041","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.042","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
