"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","4","1","T0_T12","c_Viruses","VP","2",1608571.42857143,580709.735535596,0.718915631589164,"LM_SR"
"NJ2020","4","1","T0_T12","c_Viruses","VP","3",1994072.49466951,629309.756556381,0.769946498944966,"LM_SR"
"NJ2020","5","1","T0_T12","c_Viruses","VP","1",152515.991471216,353134.705781532,0.0585371905828238,"LM_SR"
"NJ2020","5","1","T0_T12","c_Viruses","VP","2",115458.42217484,218598.630354395,0.0850783418642169,"LM_SR"
"NJ2020","5","1","T0_T12","c_Viruses","VP","3",-12985.0746268664,200353.472707541,0.00139819017195902,"LM_SR"
"NJ2020","6","1","T0_T12","c_Viruses","VP","1",-848827.292110874,761866.5682489,0.292671645727746,"LM_SR"
"NJ2020","6","1","T0_T12","c_Viruses","VP","2",-257910.447761193,89981.6017606553,0.732511429951038,"LM_SR"
"NJ2020","6","1","T0_T12","c_Viruses","VP","3",-410191.897654584,156249.14067106,0.696721517750121,"LM_SR"
"NJ2020","7","1","T0_T12","c_Viruses","VP","1",-100213.219616205,138089.218359828,0.149336810974151,"LM_SR"
"NJ2020","7","1","T0_T12","c_Viruses","VP","2",-64068.2302771856,79811.2116948578,0.176819938464939,"LM_SR"
"NJ2020","7","1","T0_T12","c_Viruses","VP","3",-39616.2046908315,73649.1185585896,0.0879633319225622,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","1",-101590.362040835,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","2",-15849.8419214242,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","3",-146932.312432158,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V1","VP","1",-602269.13079576,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V1","VP","2",-703183.664454911,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V1","VP","3",-603044.215129318,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V1","VP","1",602867.297334837,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V1","VP","2",563851.042886509,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V1","VP","3",1543549.06748345,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V1","VP","1",230657.057413563,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V1","VP","2",753775.014419017,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V1","VP","3",553545.781060325,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V1","VP","1",229166.448841935,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V1","VP","2",570540.789570589,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V1","VP","3",-152973.737583087,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V1","VP","1",261174.908818317,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V1","VP","2",292081.135947037,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V1","VP","3",-843495.133607829,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V1","VP","1",343019.16447418,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V1","VP","2",230462.897519455,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V1","VP","3",-211018.17210182,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","1",-496943.381176283,228257.172022781,0.825779538113337,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","2",-439053.844967141,244336.945080571,0.763533008258879,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","3",-573562.529923935,246315.070913306,0.844291341703089,"LM_SR"
"NJ2020","2","1","T0_T6","c_V1","VP","1",-303006.902427649,172779.12810662,0.754634213980134,"LM_SR"
"NJ2020","2","1","T0_T6","c_V1","VP","2",-546402.880001432,90517.4281079776,0.973289591445078,"LM_SR"
"NJ2020","2","1","T0_T6","c_V1","VP","3",-507631.326741651,55086.6567947818,0.9883611077212,"LM_SR"
"NJ2020","3","1","T0_T6","c_V1","VP","1",164210.11039087,253258.844964062,0.295976724594086,"LM_SR"
"NJ2020","3","1","T0_T6","c_V1","VP","2",184161.921969596,219213.616169752,0.413755291310963,"LM_SR"
"NJ2020","3","1","T0_T6","c_V1","VP","3",-85289.3443870966,940410.295559861,0.00815825330695732,"LM_SR"
"NJ2020","4","1","T0_T6","c_V1","VP","1",2393549.44984453,1248746.50499822,0.786049363330775,"LM_SR"
"NJ2020","4","1","T0_T6","c_V1","VP","2",2417858.25375782,960758.906186201,0.863636496360463,"LM_SR"
"NJ2020","4","1","T0_T6","c_V1","VP","3",2378297.55825655,1053520.92976849,0.835963254597529,"LM_SR"
"NJ2020","5","1","T0_T6","c_V1","VP","1",1219933.91744319,572019.864701262,0.819765050684179,"LM_SR"
"NJ2020","5","1","T0_T6","c_V1","VP","2",249993.639971696,185067.983108886,0.645982138780715,"LM_SR"
"NJ2020","5","1","T0_T6","c_V1","VP","3",-499842.384403747,200264.706615348,0.861678981580292,"LM_SR"
"NJ2020","6","1","T0_T6","c_V1","VP","1",-933382.326422979,689677.941328974,0.64684058637443,"LM_SR"
"NJ2020","6","1","T0_T6","c_V1","VP","2",-227034.290760576,299711.431350127,0.364603651192712,"LM_SR"
"NJ2020","6","1","T0_T6","c_V1","VP","3",22230.4915118007,499826.922707178,0.00197424291937843,"LM_SR"
"NJ2020","7","1","T0_T6","c_V1","VP","1",248816.977328006,54387.6581070946,0.954399370092323,"LM_SR"
"NJ2020","7","1","T0_T6","c_V1","VP","2",-49259.2763672027,161497.672391769,0.0851157036269139,"LM_SR"
"NJ2020","7","1","T0_T6","c_V1","VP","3",-160937.5095715,28914.0839930752,0.96873145136364,"LM_SR"
"NJ2020","1","1","T0_T9","c_V1","VP","1",-249844.676205991,175421.940803593,0.503535779613952,"LM_SR"
"NJ2020","1","1","T0_T9","c_V1","VP","2",-241448.500294501,157974.89028532,0.538745422451431,"LM_SR"
"NJ2020","1","1","T0_T9","c_V1","VP","3",-267006.32222817,208470.123336835,0.450613062174724,"LM_SR"
"NJ2020","2","1","T0_T9","c_V1","VP","1",3507486.00591359,2201345.63247002,0.559347478812505,"LM_SR"
"NJ2020","2","1","T0_T9","c_V1","VP","2",1630314.20673142,1257379.99010502,0.45669327798986,"LM_SR"
"NJ2020","2","1","T0_T9","c_V1","VP","3",2431832.10784199,1697278.80317371,0.506522166179314,"LM_SR"
"NJ2020","3","1","T0_T9","c_V1","VP","1",118744.516604538,116262.842659585,0.342785474679562,"LM_SR"
"NJ2020","3","1","T0_T9","c_V1","VP","2",-213167.595511222,249468.442339621,0.267439090632136,"LM_SR"
"NJ2020","3","1","T0_T9","c_V1","VP","3",-63694.1764787051,420749.040669924,0.0113285720894777,"LM_SR"
"NJ2020","4","1","T0_T9","c_V1","VP","1",1720992.46180077,680184.681395098,0.76195666524688,"LM_SR"
"NJ2020","4","1","T0_T9","c_V1","VP","2",1673251.84750903,607802.957576547,0.791204271176805,"LM_SR"
"NJ2020","4","1","T0_T9","c_V1","VP","3",2282449.03142167,474387.587587962,0.920474532557509,"LM_SR"
"NJ2020","5","1","T0_T9","c_V1","VP","1",240098.031608304,620860.263005441,0.0695731562852233,"LM_SR"
"NJ2020","5","1","T0_T9","c_V1","VP","2",-112883.492557641,225262.741656575,0.111553552201881,"LM_SR"
"NJ2020","5","1","T0_T9","c_V1","VP","3",-169890.312328193,210500.943383785,0.245673582264901,"LM_SR"
"NJ2020","6","1","T0_T9","c_V1","VP","1",-1623530.27295477,503884.108949505,0.838468480238602,"LM_SR"
"NJ2020","6","1","T0_T9","c_V1","VP","2",-246121.668872037,134487.289674942,0.626110233755651,"LM_SR"
"NJ2020","6","1","T0_T9","c_V1","VP","3",-371999.084656506,319015.741682444,0.404717861295254,"LM_SR"
"NJ2020","7","1","T0_T9","c_V1","VP","1",-117685.609717747,212993.70626371,0.132430352731246,"LM_SR"
"NJ2020","7","1","T0_T9","c_V1","VP","2",-140505.059196126,89395.547608813,0.552604127177745,"LM_SR"
"NJ2020","7","1","T0_T9","c_V1","VP","3",-146066.132476367,15521.7310954761,0.977914256535818,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","1",121988.762120352,83355.0645197875,0.348723430068288,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","2",65482.5656915609,80436.2604758521,0.142136559689947,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","3",20492.1070275282,80158.6407284644,0.0160758582448595,"LM_SR"
"NJ2020","2","1","T0_T24","c_V1","VP","1",4782639.31268172,815973.269241372,0.895709709295327,"LM_SR"
"NJ2020","2","1","T0_T24","c_V1","VP","2",2004691.92233705,350988.917068235,0.890775563778153,"LM_SR"
"NJ2020","2","1","T0_T24","c_V1","VP","3",3679490.55496378,610785.334809376,0.90072209075883,"LM_SR"
"NJ2020","3","1","T0_T24","c_V1","VP","1",333464.41683323,173890.441724531,0.478994135106306,"LM_SR"
"NJ2020","3","1","T0_T24","c_V1","VP","2",125312.491413724,202360.611072905,0.0874819099463411,"LM_SR"
"NJ2020","3","1","T0_T24","c_V1","VP","3",199071.582771943,156797.383237343,0.287230254788658,"LM_SR"
"NJ2020","4","1","T0_T24","c_V1","VP","1",650793.772347387,284444.974531627,0.566850239012463,"LM_SR"
"NJ2020","4","1","T0_T24","c_V1","VP","2",796465.913213179,225909.475743747,0.756540518843772,"LM_SR"
"NJ2020","4","1","T0_T24","c_V1","VP","3",626600.117755474,347565.857307563,0.448289170047103,"LM_SR"
"NJ2020","5","1","T0_T24","c_V1","VP","1",113800.15642935,157573.242615601,0.115353445889138,"LM_SR"
"NJ2020","5","1","T0_T24","c_V1","VP","2",1107.62965983218,112918.224555364,2.40541842512478e-05,"LM_SR"
"NJ2020","5","1","T0_T24","c_V1","VP","3",28823.6476113372,66431.7671078931,0.0449482890340848,"LM_SR"
"NJ2020","6","1","T0_T24","c_V1","VP","1",-57930.1879626189,322272.233364957,0.0080132735287034,"LM_SR"
"NJ2020","6","1","T0_T24","c_V1","VP","2",-94971.8963467214,46539.3808872895,0.510066131892036,"LM_SR"
"NJ2020","6","1","T0_T24","c_V1","VP","3",-176800.04764318,91273.2983128698,0.484012429594649,"LM_SR"
"NJ2020","7","1","T0_T24","c_V1","VP","1",-72544.4657947117,53939.3136246869,0.31139316723498,"LM_SR"
"NJ2020","7","1","T0_T24","c_V1","VP","2",-40356.2709709711,32162.3802503364,0.282438936700923,"LM_SR"
