"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T24","c_V1","VP","3",NA,31348.6764015039,0.177280359892588,"LM_SR",29104.0604905443
"NJ2020","2","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",-678901.919621732
"NJ2020","2","1","T0_T6","c_V1","VP","1",NA,156465.87450394,0.871730196416312,"LM_SR",-407895.075330219
"NJ2020","2","1","T0_T17.5","c_V1","VP","1",NA,629644.167209977,0.861786809778618,"LM_SR",2223490.90840718
"NJ2020","2","1","T0_T20.5","c_V1","VP","1",NA,710427.787160795,0.871304279335113,"LM_SR",3201720.65382433
"NJ2020","2","1","T0_T24","c_V1","VP","1",NA,759356.778491908,0.876495021885907,"LM_SR",4045836.84485976
"NJ2020","2","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",-831108.584159997
"NJ2020","2","1","T0_T6","c_V1","VP","2",NA,86793.340752577,0.984005916592095,"LM_SR",-680778.108217902
"NJ2020","2","1","T0_T17.5","c_V1","VP","2",NA,416674.55597602,0.764393481331316,"LM_SR",1061394.45743317
"NJ2020","2","1","T0_T20.5","c_V1","VP","2",NA,280526.963797925,0.87283187510957,"LM_SR",1272950.1711949
"NJ2020","2","1","T0_T24","c_V1","VP","2",NA,332970.337621528,0.862555001148448,"LM_SR",1668262.81616737
"NJ2020","2","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-654708.922974431
"NJ2020","2","1","T0_T6","c_V1","VP","3",NA,10521.8450773864,0.999726794522474,"LM_SR",-636484.552711035
"NJ2020","2","1","T0_T17.5","c_V1","VP","3",NA,525213.902694323,0.815566444298348,"LM_SR",1561927.6615323
"NJ2020","2","1","T0_T20.5","c_V1","VP","3",NA,557243.296961988,0.851319359488424,"LM_SR",2309534.86916954
"NJ2020","2","1","T0_T24","c_V1","VP","3",NA,637203.732003726,0.85139360386212,"LM_SR",3050385.63370726
"NJ2020","3","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",613710.679764968
"NJ2020","3","1","T0_T6","c_V1","VP","1",NA,248898.588667693,0.349910429221738,"LM_SR",182605.678260332
"NJ2020","3","1","T0_T9","c_V1","VP","1",NA,114809.638016521,0.404753521204808,"LM_SR",133887.56581751
